title,date,category,value,product,sale,region
New Year Sale,2025-01-01,Electronics,25000,Mobile Phone,Yes,North
Summer Discount,2025-03-15,Clothing,4500,T-Shirt,Yes,South
Festival Offer,2025-04-10,Grocery,1200,Rice Bag,Yes,East
Weekend Deal,2025-05-05,Home Appliances,18000,Washing Machine,No,West
Clearance Sale,2025-06-20,Footwear,3200,Sneakers,Yes,North
Monsoon Offer,2025-07-08,Electronics,55000,Laptop,Yes,South
Flash Sale,2025-08-18,Accessories,999,Headphones,Yes,East
Holiday Special,2025-09-30,Travel,15000,Flight Ticket,No,West
Diwali Sale,2025-10-25,Electronics,30000,Smart TV,Yes,North
Year End Sale,2025-12-31,Furniture,22000,Office Chair,Yes,South